CUSTOMER_ID,spending amount
20001,5052
20002,9410
20003,4144
20004,2496
20005,9844
20006,1422
20007,1234
20008,8831
20009,2670
20010,7952
20011,1757
20012,7594
20013,4481
20014,5934
20015,6958
20028,5967
20029,9773
20030,7719
20031,7576
20032,9064
20033,2431
20034,7862
20069,3302
20070,1243
20071,2181
20072,4991
20073,1928
20074,3739
20075,7353
20076,6462
20077,2603
20086,7255
20087,5053
20088,6064
20089,4879
20090,6150
20091,9181
20092,8040
20093,7385
20094,3648
20095,4446
20086,803
20087,7868
20088,6817
20089,8815
20090,600
20091,8833
